CR1,CR2,CR3,CR4,CR5,CR6,A-2,B-1,B-2,B-4,B-5,B-7,B-8,C-1,C-2,C-3,C-4,C-5,C-6,C-7,C-8,C-9,C-10,C-11,C-12,C-13,C-14,C-15
25.95991737992512,22.949372259478658,20.853174945578427,24.66916763305533,20.48104738785471,25.357265967160316,25930.916137695312,22958.31494140625,21725.516357421875,22799.333618164062,21815.97967529297,22785.586486816406,21279.80615234375,18421.966827392574,18484.818298339844,18886.733154296875,18627.24755859375,19643.25439453125,18784.499450683597,18171.29168701172,18604.801849365234,18593.99975585937,19458.64874267578,18113.57763671875,17390.992248535156,17912.014526367188,18207.042602539062,19089.96942138672
21.753867622158637,25.360625901112943,20.588530092349888,20.11087248555503,27.46711018904285,25.81658491643861,25883.078125,22856.061950683597,21602.10876464844,22721.06329345703,21698.8681640625,22916.18487548828,21447.282836914062,17945.424407958984,17894.501220703125,18588.01763916016,18761.504028320312,19793.494384765625,18727.33026123047,18035.394409179688,18114.253509521484,18005.816955566406,19148.114196777344,18807.22491455078,18331.525756835938,18699.55557250977,18381.29052734375,19052.587829589844
27.429199436707258,23.57018030256885,27.5963066332131,26.39044508225731,23.99603711753643,24.611821639611232,25672.208251953125,22584.91094970703,21419.950256347656,22721.30474853516,21802.13482666016,22572.15954589844,20975.87866210937,18184.98471069336,18316.332275390625,18761.267547607426,18497.634765625,19723.85968017578,19440.09197998047,18987.64233398437,19354.132843017574,18791.70227050781,19605.605346679688,18351.250732421875,17572.990783691406,17878.914184570312,17831.21044921875,18702.88995361328
21.78815857273308,24.28947973924025,25.19506116057189,23.4622388848572,25.314195603808614,21.66509234976398,25897.859375,22661.180419921875,21529.63897705078,22943.25524902344,21972.66241455078,22834.19305419922,21179.314453125,17646.76739501953,17705.476135253906,18429.696380615234,18693.475463867188,19928.57489013672,19395.14471435547,18863.28350830078,19052.659454345703,18591.37322998047,19532.07666015625,18663.5849609375,17934.262786865234,17923.863403320312,17608.497009277344,18401.56134033203
20.65176390618372,26.30949326273161,24.64594375217712,25.897685751336358,23.748591766084903,26.94697160380203,25761.079711914062,22576.364318847656,21405.16387939453,22783.927185058597,21851.152465820312,22721.955627441406,21140.95538330078,17564.821411132812,17507.74237060547,18373.70330810547,18791.08026123047,19985.31463623047,19245.95288085937,18686.14068603516,19088.561737060547,18763.56622314453,19647.963134765625,18462.088745117188,17718.47119140625,18201.52905273437,18189.525634765625,18834.59832763672
23.21653536126324,20.669258278922328,25.500076168263558,25.874419689386524,24.603327616927253,22.84651822746017,25844.356689453125,22654.687133789062,21397.495727539062,22862.418823242188,22028.14532470703,22895.67529296875,21232.269165039062,17802.37548828125,17789.734924316406,18101.67413330078,18102.082458496094,19392.267822265625,19227.43377685547,18865.64532470703,19338.77554321289,18982.693481445312,19879.01348876953,18716.63391113281,17925.611694335938,18030.406951904297,17808.50946044922,18576.197631835938
26.26202862503929,27.093113392129773,22.768036598693925,23.553220835276548,25.836376816369928,22.36739673445924,25791.0947265625,22744.809509277344,21646.03143310547,22746.02740478516,21688.52087402344,22673.337463378903,21106.12438964844,18177.238159179688,18381.666381835938,19204.130126953125,19124.079040527344,20126.681091308597,19025.62774658203,18316.36932373047,18553.879486083984,18342.9111328125,19329.647033691406,18540.719482421875,17876.521850585938,17954.900787353516,17690.42755126953,18581.662536621094
27.02012226848508,26.561241072753425,26.85042653431425,26.42060349386716,26.70086499198013,20.02015762028988,25721.39514160156,22532.244873046875,21483.555114746094,22795.699096679688,21822.868041992188,22611.091735839844,20912.55029296875,17964.45834350586,18225.744140625,18999.92218017578,18929.757385253903,20099.41766357422,19451.20440673828,18889.62762451172,19260.52935791016,18794.258178710938,19672.08984375,18645.86724853516,17836.066467285156,17661.46954345703,17261.514770507812,18183.729919433597
20.449881209863207,22.77200478953449,21.669786101172924,27.84730128710825,20.843265304928693,22.681434666336937,26021.51501464844,22755.780212402344,21559.646606445312,22990.05017089844,22133.62567138672,22957.57012939453,21264.34045410156,17606.88134765625,17587.063110351562,18196.834259033203,18501.67163085937,19694.76373291016,19002.635009765625,18523.549194335938,19252.50814819336,19267.69445800781,20059.219482421875,18401.055908203125,17509.232482910156,17713.587890625,17796.79473876953,18575.240173339844
26.100165117896896,22.107546927799227,25.140071421933417,24.912959889835744,24.30678271757412,26.5970475050916,25721.24072265625,22707.43865966797,21438.857543945312,22675.32373046875,21770.3486328125,22726.778198242188,21202.68420410156,18210.48553466797,18211.84405517578,18522.74530029297,18288.679809570312,19461.73547363281,19077.904418945312,18608.795959472656,18960.165924072266,18614.42596435547,19543.080322265625,18489.509399414062,17806.609283447266,18284.19351196289,18252.224731445312,19023.357055664062
25.082187681076316,20.84664735550848,23.433007728016317,22.561195381696955,26.329473648444083,21.053418142903908,25930.555419921875,22832.03631591797,21591.309631347656,22854.21154785156,21920.436767578125,22947.95361328125,21338.42108154297,18116.092163085938,18194.24237060547,18471.12115478516,18290.492431640625,19457.34735107422,19015.214782714844,18519.189392089844,18739.39974975586,18470.96942138672,19507.052978515625,18817.678466796875,18157.71124267578,18099.16912841797,17725.7861328125,18581.468994140625
21.14028347272076,21.447783804729617,24.884447927278966,20.744024882635784,21.215966301561284,25.84067004264096,26021.903076171875,22883.657653808597,21651.71466064453,22986.36260986328,21976.85369873047,22867.493103027344,21344.883544921875,17871.319366455078,17817.223693847656,18287.67514038086,18467.74871826172,19712.46728515625,19331.24493408203,18802.374267578125,18787.19415283203,18256.270263671875,19164.585510253903,18212.73693847656,17586.317138671875,18067.43490600586,18215.874938964844,18960.58374023437
27.87228405086273,24.3132949060695,20.18281442312469,22.000686372665125,22.8052092542808,27.38618431470959,25862.55517578125,23021.53289794922,21766.96112060547,22650.95721435547,21599.24072265625,22739.60302734375,21339.55548095703,18693.776092529297,18771.01123046875,19173.578552246094,18762.444396972656,19685.29638671875,18601.32177734375,17885.083435058594,18088.80255126953,18073.27520751953,19069.628540039062,18220.94903564453,17674.635375976562,18319.213745117188,18499.29748535156,19369.91815185547
24.1297783363206,23.99956655333267,24.169719501752034,26.347443849994413,22.965295025969745,26.137235918048205,25763.257080078125,22673.256591796875,21462.016479492188,22746.50524902344,21831.495727539062,22718.620178222656,21149.032287597656,17985.75408935547,17988.009826660156,18545.072235107426,18547.135009765625,19706.65057373047,19102.04943847656,18586.998291015625,19069.23547363281,18816.888549804688,19679.24615478516,18364.802856445312,17604.07192993164,18078.353149414062,18151.76953125,18914.258056640625
26.96485744908417,27.013362881818804,20.76320018797786,24.123411703112826,26.64933875189587,24.505038840699036,25751.74133300781,22796.439453125,21621.577697753903,22617.112182617188,21597.504943847656,22711.521911621094,21204.575073242188,18335.71502685547,18485.689697265625,19209.80111694336,19015.840698242188,19936.11767578125,18693.93914794922,17970.739990234375,18316.68203735352,18317.53912353516,19359.31622314453,18641.03533935547,18028.12728881836,18268.47018432617,18009.359130859375,18856.456604003903
22.358547103111817,20.04892015234404,27.810109277648674,26.91464671734221,27.02759298440627,27.82545074989323,25676.181762695312,22511.96069335937,21177.91912841797,22666.36853027344,21911.543701171875,22867.57092285156,21264.11212158203,17679.31463623047,17531.38525390625,17834.541748046875,17893.55438232422,19220.60327148437,19188.402282714844,18891.57861328125,19374.769104003903,18953.694763183597,19918.508178710938,18955.64276123047,18245.756378173828,18620.93374633789,18300.118225097656,18897.73651123047
20.52265111720905,22.519527996562356,26.633958025145024,21.23587070037716,25.732985586541155,22.7076752919871,25946.5615234375,22699.39324951172,21511.59289550781,22981.44897460937,22004.735412597656,22900.07452392578,21283.74774169922,17576.442626953125,17551.12841796875,18146.286682128903,18456.00177001953,19778.73107910156,19529.113647460938,19045.523376464844,18990.069915771484,18347.80877685547,19326.463439941406,18693.212829589844,18057.309783935547,18144.22607421875,17828.241455078125,18547.677185058597
22.78575679274141,23.87599382431601,23.750357868985844,21.11803582826792,21.64808095586718,23.54602269303656,26023.49670410156,22911.771484375,21762.58087158203,22997.383666992188,21913.494384765625,22795.760314941406,21257.69464111328,18018.663330078125,18080.681518554688,18718.73477172852,18825.19512939453,19979.558715820312,19285.300903320312,18653.10028076172,18646.860931396484,18201.542907714844,19109.071838378903,18126.98742675781,17474.327270507812,17819.30291748047,17941.365112304688,18793.42053222656
24.98356666611862,24.82225871261783,26.188408703778897,23.97442820345172,25.54185506760447,23.94481437356371,25740.697265625,22628.03381347656,21479.925231933597,22770.60186767578,21785.79083251953,22667.865356445312,21084.54278564453,17987.61279296875,18080.411071777344,18730.7412109375,18710.72674560547,19897.08764648437,19365.1240234375,18812.644653320312,19004.29263305664,18493.79278564453,19420.906372070312,18537.68719482422,17848.174896240234,18055.480834960938,17836.61151123047,18648.85266113281
