PSZ,DOM,vanA,vanB,subcool,CRD,flow_rate,power_density,VFNGAP
120.334,216.336,338.763,332.827,24.168,15,250.161,66.25,0.222
137.906,198.764,349.531,322.059,22.435,30,253.792,66.044,0.393
131.235,205.435,317.283,354.307,24.234,16,255.631,65.839,0.432
127.169,209.501,303.856,367.734,27.501,47,252.619,63.828,0.36
113.67,223,306.145,365.445,22.188,8,256.789,64.326,0.442
113.669,223.001,335.321,336.269,24.094,5,253.11,64.962,0.225
110.683,225.987,325.337,346.253,24.463,15,251.794,64.595,0.249
135.327,201.343,319.082,352.508,24.096,3,252.594,66.209,0.232
127.244,209.426,297.189,374.401,23.964,36,255.219,63.422,0.361
130.506,206.164,349.095,322.495,24.113,2,254.66,64.181,0.464
109.539,227.131,341.809,329.781,23.377,2,254.075,65.042,0.265
138.491,198.179,292.394,379.196,26.436,23,255.012,64.692,0.482
134.299,202.371,309.891,361.699,24.6,4,255.435,65.932,0.235
115.387,221.283,323.375,348.215,23.096,38,252.139,65.251,0.376
114.457,222.213,316.6,354.99,25.756,13,250.978,63.834,0.261
114.505,222.165,312.237,359.353,22.95,46,255.471,65.786,0.428
118.19,218.48,337.01,334.58,22.355,27,250.564,61.746,0.278
124.915,211.755,285.748,385.842,23.389,7,255.976,66.877,0.496
122.085,214.585,317.918,353.672,26.08,36,253.581,63.329,0.471
117.793,218.877,301.773,369.817,22.379,32,255.961,67.33,0.259
127.571,209.099,288.071,383.519,23.585,18,250.066,66.351,0.493
113.166,223.504,317.414,354.176,23.153,17,251.966,67.778,0.224
117.821,218.849,294.765,376.825,25.242,42,251.482,66.164,0.452
120.084,216.586,301.468,370.122,22.441,18,249.385,66.123,0.266
122.82,213.85,320.665,350.925,24.914,34,252.479,65.94,0.311
132.857,203.813,356.677,314.913,22.066,12,251.358,67.351,0.387
115.001,221.669,334.342,337.248,25.585,34,251.197,63.555,0.482
124.594,212.076,303.119,368.471,24.809,44,251.716,63.935,0.277
126.978,209.692,311.05,360.54,25.064,16,256.464,64.871,0.409
110.328,226.342,312.881,358.709,24.261,38,255.176,65.365,0.345
127.44,209.23,293.397,378.193,22.454,43,247.396,67.647,0.431
114.112,222.558,293.939,377.651,25.153,23,256.587,65.323,0.497
110.895,225.775,292.993,378.597,24.853,29,250.29,64.027,0.484
137.85,198.82,321.796,349.794,22.895,19,253.622,63.635,0.307
138.36,198.31,333.565,338.025,22.205,40,253.997,65.129,0.309
133.565,203.105,327.124,344.466,24.1,26,260.026,65.283,0.23
118.201,218.469,356.99,314.6,24.215,41,254.169,66.247,0.456
111.89,224.78,291.255,380.335,25.059,9,250.94,64.165,0.274
129.779,206.891,357.662,313.928,23.093,26,253.935,63.791,0.333
122.335,214.335,317.552,354.038,24.559,40,257.596,63.498,0.394
112.633,224.037,298.413,373.177,25.422,10,251.377,63.433,0.479
124.013,212.657,354.329,317.261,20.986,42,254.971,66.982,0.214
109.96,226.71,317.702,353.888,20.623,30,248.53,61.64,0.361
136.643,200.027,308.345,363.245,24.258,36,252.081,63.183,0.431
116.803,219.867,298.04,373.55,24.413,16,254.965,60.752,0.488
129.116,207.554,302.212,369.378,23.087,3,253.495,60.898,0.282
118.418,218.252,357.102,314.488,21.855,13,250.756,63.764,0.281
124.772,211.898,304.998,366.592,26.642,43,252.914,61.705,0.461
125.585,211.085,356.993,314.597,24.097,33,254.941,64.729,0.447
114.549,222.121,307.023,364.567,24.161,12,254.836,64.551,0.209
138.481,198.189,299.399,372.191,23.277,8,253.735,63.376,0.467
132.551,204.119,295.691,375.899,23.781,24,255.864,67.243,0.261
137.563,199.107,313.322,358.268,23.603,3,253.803,65.696,0.327
136.201,200.469,299.815,371.775,25.991,21,254.339,65.37,0.282
127.146,209.524,335.32,336.27,27.6,11,251.132,66.402,0.452
137.026,199.644,300.044,371.546,22.856,30,256.495,63.195,0.487
111.61,225.06,346.004,325.586,25.583,0,256.466,66.339,0.395
114.888,221.782,345.897,325.693,26.338,23,253.703,65.158,0.213
110.291,226.379,303.574,368.016,22.8,1,255.566,63.899,0.393
118.833,217.837,339.688,331.902,23.185,15,249.339,69.599,0.429
120.765,215.905,347.713,323.877,22.267,37,250.567,61.844,0.439
117.187,219.483,327.079,344.511,23.14,16,254.915,63.882,0.264
134.186,202.484,309.81,361.78,22.743,14,246.252,67.28,0.469
119.791,216.879,315.569,356.021,23.681,11,246.893,62.707,0.271
117.479,219.191,342.21,329.38,22.15,38,249.689,63.886,0.434
125.462,211.208,304.175,367.415,24.873,22,256.173,64.622,0.457
113.209,223.461,307.35,364.24,25.221,32,251.235,64.25,0.439
133.376,203.294,293.949,377.641,23.373,30,253.06,64.201,0.405
111.185,225.485,312.334,359.256,22.448,28,250.647,67.502,0.449
139.009,197.661,288.218,383.372,24.294,32,256.082,65.021,0.45
132.463,204.207,306.314,365.276,24.392,31,253.369,64.484,0.323
114.972,221.698,310.361,361.229,22.971,44,251.505,65.082,0.279
109.08,227.59,301.256,370.334,23.395,22,255.52,65.048,0.399
133.781,202.889,289.363,382.227,23.327,3,253.527,68.97,0.422
130.469,206.201,321.796,349.794,25.151,31,251.355,65.346,0.466
131.144,205.526,348.295,323.295,24.285,37,253.917,65.422,0.407
132.433,204.237,307.442,364.148,21.351,45,254.488,65.89,0.41
111.17,225.5,299.815,371.775,27.463,4,256.819,62.652,0.22
119.844,216.826,303.537,368.053,23.371,44,256.371,62.693,0.369
112.445,224.225,348.048,323.542,25.093,39,251.617,58.237,0.214
135.234,201.436,322.27,349.32,24.09,47,252.025,68.329,0.239
127.92,208.75,291.634,379.956,23.272,5,255.114,64.408,0.464
119.003,217.667,336.268,335.322,25.386,17,254.409,62.436,0.269
110.85,225.82,293.454,378.136,26.618,19,257.811,64.81,0.482
118.395,218.275,286.191,385.399,22.377,3,253.374,65.325,0.391
118.829,217.841,301.272,370.318,22.864,21,252.411,62.34,0.432
131.162,205.508,294.512,377.078,26.243,46,254.441,65.786,0.499
128.355,208.315,328.226,343.364,27,39,255.076,66.328,0.377
135.969,200.701,318.933,352.657,24.542,1,255.149,67.576,0.462
123.313,213.357,337.414,334.176,25.957,4,257.909,64.287,0.216
