sample number,cpu_time,runtime,k,fluxQ1,fluxQ2,fluxQ3,fluxQ4,k_uncert,flux_runcertQ1,flux_runcertQ2,flux_runcertQ3,flux_runcertQ4,fissQ1,fissQ2,fissQ3,fissQ4,fissEQ1,fissEQ2,fissEQ3,fissEQ4,fiss_runcertQ1,fiss_runcertQ2,fiss_runcertQ3,fiss_runcertQ4,fissE_runcertQ1,fissE_runcertQ2,fissE_runcertQ3,fissE_runcertQ4,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8
sample_00000,4.26E+03,2.00E+02,0.998328,2.58E+19,2.59E+19,2.67E+19,2.56E+19,0.00019,0.00112,0.00111,0.00111,0.00108,8.49E+16,8.49E+16,8.48E+16,8.49E+16,2751290,2751060,2749270,2750450,0.0006,0.0006,0.00063,0.00062,0.0006,0.0006,0.00063,0.00062,5.91952603,2.36950271,2.92365595,4.48898729,3.68321232,4.00890489,4.97036758,2.98796636
sample_00001,2.57E+03,1.30E+02,0.988522,2.55E+19,2.53E+19,2.51E+19,2.51E+19,0.00025,0.00142,0.00148,0.00154,0.0015,8.49E+16,8.49E+16,8.49E+16,8.49E+16,2750610,2750210,2750150,2750110,0.00076,0.00077,0.00084,0.00074,0.00076,0.00077,0.00084,0.00074,2.16238049,0.273624302,0.927740883,4.59558614,2.59882402,0.170166579,2.12404792,4.98020926
sample_00002,2.59E+03,1.30E+02,1.00461,2.57E+19,2.58E+19,2.52E+19,2.52E+19,0.00025,0.00167,0.00163,0.00161,0.00165,8.48E+16,8.48E+16,8.49E+16,8.49E+16,2748870,2749690,2752250,2751840,0.00076,0.00077,0.00086,0.0008,0.00076,0.00077,0.00086,0.0008,0.450100101,0.006300644,2.51221749,3.3138636,1.91345776,3.58225182,0.280763918,4.88859544
sample_00003,2.58E+03,1.29E+02,0.991892,2.57E+19,2.58E+19,2.52E+19,2.56E+19,0.00025,0.00197,0.00193,0.00195,0.002,8.48E+16,8.49E+16,8.48E+16,8.47E+16,2748920,2750720,2749330,2746220,0.00082,0.00076,0.0008,0.00078,0.00082,0.00076,0.0008,0.00078,0.461105475,4.82562849,3.77135615,2.59927774,2.05601875,0.007332148,1.10678624,5.50467092
sample_00004,2.57E+03,1.29E+02,0.985047,2.54E+19,2.62E+19,2.58E+19,2.52E+19,0.00025,0.00167,0.00167,0.00172,0.00169,8.48E+16,8.49E+16,8.48E+16,8.49E+16,2748910,2753130,2747870,2752420,0.0008,0.00081,0.00082,0.00083,0.0008,0.00081,0.00082,0.00083,5.24820167,3.54941553,3.33363238,3.90731003,2.09531157,5.58514516,3.77425254,2.48011971
sample_00005,2.57E+03,1.30E+02,0.986747,2.57E+19,2.55E+19,2.54E+19,2.58E+19,0.00024,0.00149,0.00148,0.00146,0.00146,8.48E+16,8.48E+16,8.49E+16,8.48E+16,2749880,2747860,2752420,2749490,0.00082,0.00079,0.0008,0.00072,0.00082,0.00079,0.0008,0.00072,1.0880861,4.09534394,1.46848057,0.013247116,2.26521162,1.78034117,1.52889764,5.94233761
sample_00006,2.58E+03,1.30E+02,0.994361,2.60E+19,2.60E+19,2.56E+19,2.53E+19,0.00024,0.00155,0.00153,0.00152,0.00153,8.49E+16,8.49E+16,8.49E+16,8.48E+16,2750260,2750250,2751980,2749900,0.00078,0.00079,0.0008,0.00076,0.00078,0.00079,0.0008,0.00076,1.70351003,0.220035928,0.861027865,1.98312642,5.62622274,4.25416831,2.52517075,4.69777596
sample_00007,2.58E+03,1.30E+02,0.995737,2.54E+19,2.61E+19,2.54E+19,2.56E+19,0.00025,0.00136,0.00146,0.00142,0.00137,8.48E+16,8.48E+16,8.48E+16,8.48E+16,2749480,2749880,2749500,2748650,0.00075,0.0008,0.00078,0.00082,0.00075,0.0008,0.00078,0.00082,1.74065489,5.60967488,2.96454328,3.39551315,2.54811891,6.23435369,5.11083489,1.35055459
sample_00008,2.57E+03,1.30E+02,0.995217,2.68E+19,2.57E+19,2.50E+19,2.55E+19,0.00023,0.00126,0.00121,0.00123,0.00125,8.49E+16,8.50E+16,8.48E+16,8.49E+16,2752720,2753270,2748020,2752290,0.00083,0.00083,0.0008,0.00078,0.00083,0.00083,0.0008,0.00078,0.799243601,0.707010003,2.38302234,5.10439017,2.2561814,0.331371367,2.43521394,5.27473936
sample_00009,2.59E+03,1.30E+02,0.998084,2.56E+19,2.54E+19,2.65E+19,2.68E+19,0.00024,0.00147,0.00145,0.0015,0.00156,8.47E+16,8.49E+16,8.48E+16,8.49E+16,2746590,2750120,2749130,2751760,0.00077,0.00076,0.00078,0.00078,0.00077,0.00076,0.00078,0.00078,3.85942948,0.733804871,5.79275523,4.06966425,4.34269688,4.66691015,4.64590121,6.14888828
sample_00010,2.58E+03,1.30E+02,0.996447,2.54E+19,2.54E+19,2.48E+19,2.51E+19,0.00025,0.00135,0.00129,0.00131,0.00133,8.49E+16,8.49E+16,8.49E+16,8.48E+16,2750410,2750580,2751340,2748910,0.00074,0.00081,0.00077,0.00077,0.00074,0.00081,0.00077,0.00077,6.14858892,2.41732632,2.82327579,1.73148281,1.21318758,5.07531289,4.99074494,4.16045289
sample_00011,2.57E+03,1.29E+02,0.990925,2.52E+19,2.54E+19,2.57E+19,2.63E+19,0.00024,0.00176,0.00177,0.00174,0.00177,8.47E+16,8.49E+16,8.49E+16,8.48E+16,2745170,2750540,2750370,2748960,0.00082,0.00081,0.00081,0.00078,0.00082,0.00081,0.00081,0.00078,5.16661182,3.00941396,5.7188897,2.53074033,0.012824949,3.82668911,5.41019136,0.911710864
sample_00012,2.58E+03,1.30E+02,0.988522,2.57E+19,2.53E+19,2.53E+19,2.52E+19,0.00025,0.0014,0.00145,0.00148,0.00144,8.50E+16,8.49E+16,8.48E+16,8.48E+16,2754420,2750110,2748290,2747920,0.00077,0.00083,0.0008,0.00077,0.00077,0.00083,0.0008,0.00077,6.13010614,5.52376805,3.58015152,4.74206981,3.12636003,1.71070173,2.37356593,0.421802447
sample_00013,2.58E+03,1.29E+02,0.991545,2.52E+19,2.59E+19,2.50E+19,2.62E+19,0.00024,0.00127,0.0013,0.0013,0.00134,8.49E+16,8.49E+16,8.48E+16,8.48E+16,2752920,2750850,2747200,2749550,0.00083,0.00086,0.0008,0.00075,0.00083,0.00086,0.0008,0.00075,2.68546451,5.04271183,3.04292046,3.53810564,0.194464139,2.01203156,4.44356788,0.122992455
sample_00014,2.58E+03,1.30E+02,0.990977,2.57E+19,2.68E+19,2.56E+19,2.53E+19,0.00025,0.00162,0.00167,0.00165,0.00162,8.48E+16,8.49E+16,8.48E+16,8.49E+16,2749690,2751440,2748120,2751680,0.00081,0.00075,0.00081,0.00077,0.00081,0.00075,0.00081,0.00077,3.59014718,0.271036954,2.56660211,1.92355002,2.55704303,1.52567369,2.77300526,0.87278479
sample_00015,2.56E+03,1.29E+02,0.98854,2.64E+19,2.54E+19,2.56E+19,2.59E+19,0.00024,0.00141,0.00143,0.00142,0.00138,8.50E+16,8.49E+16,8.48E+16,8.48E+16,2753310,2752570,2747320,2748990,0.00078,0.00081,0.00078,0.0008,0.00078,0.00081,0.00078,0.0008,6.1717883,2.53978765,4.51082291,4.55929927,5.72493376,4.77056831,2.31468838,0.101219944
sample_00016,2.58E+03,1.30E+02,0.997395,2.50E+19,2.57E+19,2.58E+19,2.50E+19,0.00024,0.00172,0.00172,0.00167,0.0017,8.50E+16,8.48E+16,8.48E+16,8.50E+16,2755240,2747160,2747250,2753350,0.00082,0.00081,0.00083,0.00078,0.00082,0.00081,0.00083,0.00078,5.75980595,5.54047706,1.47774379,1.78233528,4.43379806,4.65325332,5.63724186,2.52435291
