,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,fluxQ1,fluxQ2,fluxQ3,fluxQ4
sample_00000,2.2375072940093546,-1.698165876955522,2.4334534238138588,1.2537719347787366,3.140399069580438,-3.0828289566342715,2.754850859775935,0.38679978881105903,0.24817502805614883,0.24919918567448712,0.25673371613428103,0.24589207013508302
sample_00000_h,1.2537719347787348,2.433453423813857,-1.698165876955521,2.2375072940093563,0.38679978881105814,2.754850859775935,-3.0828289566342715,3.1403990695804396,0.24919918567448712,0.24817502805614883,0.24589207013508302,0.25673371613428103
sample_00000_r,-3.140399069580438,3.0828289566342715,-2.754850859775935,-0.38679978881105725,-2.2375072940093546,1.698165876955521,-2.433453423813857,-1.253771934778734,0.25673371613428103,0.24589207013508302,0.24817502805614883,0.24919918567448712
sample_00000_v,-0.38679978881105903,-2.754850859775935,3.0828289566342733,-3.140399069580436,-1.2537719347787348,-2.4334534238138588,1.698165876955522,-2.2375072940093546,0.24589207013508302,0.25673371613428103,0.24919918567448712,0.24817502805614883
sample_00001,-1.5196382459906452,2.4891410222240644,-1.8538168163657271,1.1471730847787356,-2.058397937599148,0.7559093543657287,-0.09146880022406378,2.379042688811058,0.25272259975605504,0.25079796923759284,0.24816744285510622,0.24831198815124586
sample_00001_h,1.1471730847787347,-1.853816816365729,2.4891410222240644,-1.5196382459906435,2.379042688811058,-0.09146880022406378,0.7559093543657287,-2.058397937599148,0.25079796923759284,0.25272259975605504,0.24831198815124586,0.24816744285510622
sample_00001_r,2.0583979375991497,-0.7559093543657287,0.09146880022406378,-2.3790426888110563,1.5196382459906452,-2.4891410222240644,1.853816816365729,-1.1471730847787338,0.24816744285510622,0.24831198815124586,0.25272259975605504,0.25079796923759284
sample_00001_v,-2.379042688811058,0.09146880022406378,-0.7559093543657269,2.0583979375991497,-1.1471730847787347,1.853816816365729,-2.4891410222240644,1.5196382459906452,0.24831198815124586,0.24816744285510622,0.25079796923759284,0.25272259975605504
sample_00002,3.0512666721889414,2.221817363844065,2.844891883813858,2.428895624778736,-1.3730316775991485,-2.656175886634273,-1.9347528022240645,2.287428868811059,0.25209624284257587,0.25309926268726957,0.24746646795827124,0.24733802651188327
sample_00002_h,2.428895624778736,2.844891883813858,2.221817363844064,3.0512666721889428,2.287428868811059,-1.9347528022240645,-2.656175886634271,-1.3730316775991476,0.25309926268726957,0.25209624284257587,0.24733802651188327,0.24746646795827124
